호선,역명,위도,경도,운행구간,설치위치
2,신대방,37.487713,126.913265,3F-2F,내선 8-1
2,신대방,37.487713,126.913265,3F-2F,외선 3-4
2,신도림,37.50883,126.891211,B1-B2,섬식 3-2
2,신도림,37.50883,126.891211,B1-B2,섬식 4-4
2,신림,37.484152,126.930283,1F-B1,1번 출구
2,신림,37.484323,126.929144,1F-B1,5번 출구
2,신림,37.484227,126.929689,B1-B2,섬식(외) 4-4
2,신설동,37.574656,127.02512,1F-B1,9번 출구
2,신설동,37.574656,127.02512,B1-B2,섬식(외) 4-3
2,신정네거리,37.520733,126.852512,1F-B2,2번 출구
2,신정네거리,37.520326,126.852776,B2-B3,내선 3-4
2,신정네거리,37.520326,126.852776,B2-B3,외선 4-1
2,신촌,37.555423,126.937309,1F-B1,4번 출구
2,신촌,37.555219,126.936888,B1-B2,내선 4-4
2,신촌,37.555219,126.936888,B1-B2,외선 8-4
2,아현,37.556952,126.95611,1F-B1,3번 출구
2,아현,37.557508,126.956097,B1-B2,내선 4-3
2,아현,37.557508,126.956097,B1-B2,외선 7-2
2,양천구청,37.512616,126.865981,1F-B1,1번 출구
2,양천구청,37.512341,126.865619,B1-B2,내선 3-3
2,양천구청,37.512341,126.865619,B1-B2,외선 4-1
2,역삼,37.500095,127.035379,1F-B1,3번 출구
2,역삼,37.500458,127.035188,1F-B1,4번 출구
2,역삼,37.500608,127.036414,B1-B2,내선 4-1
2,역삼,37.500608,127.036414,B1-B2,외선 7-3
2,영등포구청,37.525879,126.896418,1F-B1,2번 출구
2,영등포구청,37.525804,126.896624,B1-B2,내선 3-1
2,영등포구청,37.525804,126.896624,B1-B2,외선 8-4
2,왕십리,37.561452,127.036906,1F-B4,4번 출구
2,왕십리,37.560924,127.037717,1F-B1,6-1번 출구
2,왕십리,37.561164,127.035513,B2-B3,내선 3-4
2,왕십리,37.561164,127.035513,B2-B3,외선 3-2
2,용두,37.574144,127.038652,1F-B1,3번 출구
2,용두,37.573592,127.038185,1F-B1,4번 출구
2,용두,37.574035,127.038099,B1-B2,내선 4-3
2,용두,37.574035,127.038099,B1-B2,외선 1-1
2,을지로3가,37.56609,126.989445,1F-B1,12번 출구
2,을지로3가,37.566342,126.992597,B1-B2,내선 3-2
2,을지로3가,37.566342,126.992597,B1-B2,외선 8-3
2,을지로4가,37.566229,126.998415,1F-B1,8번 출구
2,을지로4가,37.566614,126.998122,B1-B2,내선 8-3
2,을지로4가,37.566614,126.998122,B1-B2,외선 3-2
2,을지로입구,37.566172,126.982079,1F-B1,1번 출구
2,을지로입구,37.565896,126.983413,1F-B1,5번 출구
2,을지로입구,37.565997,126.982597,B1-B2,내선 6-2
2,을지로입구,37.565997,126.982597,B1-B2,외선 5-3
2,이대,37.556561,126.94545,1F-B1,6번 출구
2,이대,37.55674,126.945972,B1-B2,섬식(외) 2-2
2,잠실,37.513289,127.101098,1F-B1,1번 출구
2,잠실,37.513598,127.101345,B1-B2,내선 6-3
2,잠실,37.513598,127.101345,B1-B2,외선 5-2
2,잠실나루,37.52073,127.103762,2F-1F,내선 8-1
2,잠실나루,37.52073,127.103762,2F-1F,외선 3-4
2,신천,37.511267,127.085821,1F-B1,2번 출구
2,신천,37.511764,127.085936,1F-B1,7번 출구
2,신천,37.511549,127.086076,B1-B2,내선 4-1
2,신천,37.511549,127.086076,B1-B2,외선 7-3
2,종합운동장,37.511637,127.073191,1F-B1,6번 출구
2,종합운동장,37.511018,127.073662,B1-B2,내선 8-4
2,종합운동장,37.511018,127.073662,B1-B2,외선 2-4
2,충정로,37.559008,126.963888,1F-B2,5번 출구
2,충정로,37.559767,126.964496,B2-B3,섬식(외) 2-1
2,한양대,37.55576,127.043271,2F-1F,4번 출구
2,한양대,37.555592,127.043688,2F-1F,섬식(외) 3-3
2,합정,37.551008,126.915615,1F-B1,2번 출구
2,합정,37.549141,126.913432,B1-B2,내선 7-3
2,합정,37.549141,126.913432,B1-B2,외선 4-1
2,홍대입구,37.556897,126.924171,1F-B1,8번 출구
2,홍대입구,37.556701,126.923581,B1-B2,섬식(외)7-2
3,가락시장,37.49202,127.118764,1F-B2,7번 출구
3,가락시장,37.492531,127.118702,B2-B4,상행 8-2
3,가락시장,37.492531,127.118702,B2-B4,하행 3-2
3,경복궁,37.575945,126.973222,1F-B2,4번 출구
3,경복궁,37.575788,126.973515,B2-B3,섬식(상) 6-2
3,경찰병원,37.495934,127.124233,1F-B1,2번 출구
3,경찰병원,37.495489,127.124234,1F-B1,3번 출구
3,경찰병원,37.495797,127.124345,B1-B3,상행 4-2
3,경찰병원,37.495797,127.124345,B1-B3,하행 7-3
3,고속터미널,37.506034,127.00551,1F-B2,1번 출구
3,고속터미널,37.503701,127.0055,B2-B3,상행 8-2
3,고속터미널,37.503701,127.0055,B2-B3,하행 3-3
3,교대,37.493669,127.013673,B1-B3,섬식(상) 4-2
3,구파발,37.637244,126.918919,1F-B1,1번 출구
3,구파발,37.636737,126.918824,B1-B2,섬식(상) 5-3
3,금호,37.548172,127.0163,1F-B1,2번 출구
3,금호,37.548033,127.01586,B1-B2,섬식(상) 3-2
3,남부터미널,37.484739,127.015848,1F-B2,5번 출구
3,남부터미널,37.484996,127.016258,B2-B3,상행 3-2
3,남부터미널,37.484996,127.016258,B2-B3,하행 8-2
3,녹번,37.600727,126.935412,1F-B1,3번 출구
3,녹번,37.600915,126.935747,B1-B2,섬식(상) 3-1
3,대청,37.494019,127.079239,1F-B2,8번 출구
3,대청,37.49355,127.079546,B2-B3,상행 4-4
3,대청,37.49355,127.079546,B2-B3,하행 7-1
3,대치,37.494016,127.062604,1F-B1,7번 출구
3,대치,37.49455,127.063448,B1-B4,섬식(상) 1-1
3,독립문,37.573507,126.95869,1F-B2,4번 출구
3,독립문,37.574563,126.957753,B2-B3,섬식(상) 9-1
3,동대입구,37.558869,127.004969,1F-B2,6번 출구
3,동대입구,37.559059,127.005595,B1-B2,내부
3,동대입구,37.559059,127.005595,B2-B3,섬식(상) 3-3
3,매봉,37.486685,127.045855,1F-B1,1번 출구
3,매봉,37.486956,127.046795,B1-B2,상행 5-4
3,매봉,37.486956,127.046795,B1-B2,하행 6-1
3,무악재,37.582447,126.950429,1F-B2,1번 출구
3,무악재,37.582318,126.950301,B2-B3,상행 3-3
3,무악재,37.582318,126.950301,B2-B3,하행 8-2
3,불광,37.610219,126.930309,1F-B1,1번 출구
3,불광,37.610936,126.92948,B1-B2,상행 3-3
3,불광,37.610936,126.92948,B1-B2,하행 8-2
3,수서,37.487215,127.100793,1F-B1,1번 출구
3,수서,37.487307,127.101633,B1-B2,상행 8-3
3,수서,37.487307,127.101633,B1-B2,하행 3-2
3,신사,37.51646,127.021023,1F-B1,1번 출구
3,신사,37.51679,127.020772,1F-B1,8번 출구
3,신사,37.516297,127.020023,B1-B2,상행 3-1
3,신사,37.516297,127.020023,B1-B2,하행 8-3
3,안국,37.57584,126.984161,1F-B2,6번 출구
3,안국,37.576501,126.985421,B2-B3,섬식(상) 3-2
3,압구정,37.525568,127.028632,1F-B1,3번 출구
3,압구정,37.527065,127.028453,B1-B2,상행 8-2
3,압구정,37.527065,127.028453,B1-B2,하행 3-2
3,약수,37.55323,126.956806,1F-B1,3번 출구
3,약수,37.554329,127.010977,B1-B2,섬식(상) 8-4
3,양재,37.484238,127.033545,1F-B1,12번 출구
3,양재,37.483845,127.034672,B1-B2,상행 3-1
3,양재,37.483845,127.034672,B1-B2,하행 8-4
3,연신내,37.619084,126.921169,B1-B2,섬식(상) 6-1
3,오금,37.502543,127.128507,1F-B1,1번 출구
3,오금,37.502162,127.128362,B1-B4,상행 5-1
3,오금,37.502162,127.128362,B1-B4,하행 6-4
3,옥수,37.541233,127.01708,2F-1F,4번 출구
3,옥수,37.541705,127.017268,3F-2F,상행 10-1
3,옥수,37.541705,127.017268,3F-2F,하행 1-2
3,을지로3가,37.56623,126.99222,1F-B1,10번 출구
3,을지로3가,37.566342,126.992597,B1-B3,섬식(상) 6-3
3,일원,37.484295,127.083908,1F-B2,1번 출구
3,일원,37.483688,127.084382,B2-B3,상행 6-3
3,일원,37.483688,127.084382,B2-B3,하행 5-2
3,잠원,37.512872,127.011674,1F-B1,1번 출구
3,잠원,37.512771,127.011236,B1-B2,상행 3-3
3,잠원,37.512771,127.011236,B1-B2,하행 8-2
3,종로3가,37.570947,126.99172,1F-B1,2-1번 출구
3,지축,37.648055,126.913937,2F-1F,섬식(상) 2-1
3,학여울,37.496438,127.070495,1F-B4,1번 출구
3,학여울,37.496679,127.070601,B4-B5,상행 5-4
3,학여울,37.496679,127.070601,B4-B5,하행 6-1
3,홍제,37.588141,126.944668,1F-B2,3번 출구
3,홍제,37.589055,126.943754,B2-B3,섬식(상) 3-4
4,길음,37.603974,127.025153,1F-B1,5번 출구
4,길음,37.603389,127.025051,B1-B2,섬식(상)6-1
4,남태령,37.464377,126.988456,1F-B1,2번 출구
4,남태령,37.463893,126.989221,B1-B2,내부
4,남태령,37.463893,126.989221,B2-B3,섬식(상) 3-3
4,노원,37.656024,127.062801,2F-1F,2번 출구
4,노원,37.65628,127.062713,2F-1F,9번 출구
4,노원,37.656281,127.063268,3F-2F,상행 8-4
4,노원,37.656281,127.063268,3F-2F,하행 3-1
4,당고개,37.670496,127.079431,2F-1F,1번 출구
4,당고개,37.670278,127.07907,3F-2F,상행 6-1
4,당고개,37.670278,127.07907,3F-2F,하행 5-4
4,동대문,37.570923,127.008715,1F-B1,9번 출구
4,동대문,37.57124,127.009045,B1-B4,섬식(상)6-3
4,동대문역사문화공원,37.565163,127.007875,B1-B2,섬식(상)4-4
4,동작,37.502893,126.980365,3F-2F,상행 7-4
4,동작,37.502893,126.980365,3F-1F,하행 4-4
4,명동,37.560866,126.987193,1F-B1,1번 출구
4,미아,37.627331,127.025991,1F-B1,1번 출구
4,미아,37.626664,127.025994,B1-B2,상행 8-2
4,미아,37.626664,127.025994,B1-B2,하행 3-4
4,미아사거리,37.613976,127.030185,1F-B1,1번 출구
4,미아사거리,37.613274,127.03004,B1-B2,상행 3-1
4,미아사거리,37.613274,127.03004,B1-B2,하행 8-3
4,사당,37.477713,126.981468,1F-B1,9번 출구
4,사당,37.476532,126.981621,B1-B3,섬식(상)09-2
4,삼각지,37.534367,126.973229,1F-B1,"1, 2번 출구 사이"
4,삼각지,37.534648,126.972794,1F-B1,"5, 6번 출구 사이"
4,삼각지,37.535567,126.974,B1-B2,상행 4-3
4,삼각지,37.535567,126.974,B1-B2,하행 7-2
4,서울,37.552339,126.972668,1F-B1,12번 출구
4,서울,37.553165,126.97263,B1-B2,섬식(상) 9-1
4,성신여대입구,37.592448,127.016633,1F-B1,2번 출구
4,성신여대입구,37.592344,127.016167,1F-B1,3번 출구
4,성신여대입구,37.592616,127.01641,B1-B2,상행 8-2
4,성신여대입구,37.592616,127.01641,B1-B2,하행 3-4
4,수유,37.638054,127.025967,1F-B1,2번 출구
4,수유,37.638044,127.025705,B1-B2,상행 7-1
4,수유,37.638044,127.025705,B1-B2,하행 4-4
4,숙대입구,37.54545,126.971694,1F-B1,10번 출구
4,숙대입구,37.544584,126.972106,B1-B2,상행 8-1
4,숙대입구,37.544584,126.972106,B1-B2,하행 3-3
4,신용산,37.529174,126.967894,B1-B2,상행 8-2
4,신용산,37.529174,126.967894,B1-B2,하행 3-2
4,쌍문,37.648828,127.035023,1F-B1,1번 출구
4,쌍문,37.64863,127.034703,B1-B2,상행 8-4
4,쌍문,37.64863,127.034703,B1-B2,하행 3-1
4,이수,37.488294,126.982053,1F-B1,14번 출구
4,이수,37.488271,126.982526,1F-B1,1번 출구
4,이촌,37.522789,126.973389,1F-B1,1번 출구
4,이촌,37.522119,126.975666,1F-B1,2번 출구
4,이촌,37.521652,126.975194,1F-B1,3-1번 출구
4,이촌,37.522266,126.974713,B1-B2,상행 8-1
4,이촌,37.522266,126.974713,B1-B2,하행 3-3
4,창동,37.653436,127.048782,2F-1F,1번 출구
4,창동,37.652881,127.046544,2F-1F,2번 출구
4,창동,37.653009,127.046919,3F-2F,상행(당고개방향) 2-4
4,창동,37.653009,127.046919,3F-2F,"상행(당고개방향) 8-2, 8-3"
4,창동,37.653009,127.046919,3F-2F,하행(남태령방향) 3-2
4,창동,37.653009,127.046919,3F-2F,"하행(남태령방향) 8-4, 9-1"
4,충무로,37.561338,126.9933,1F-B1,7번 출구
4,충무로,37.561314,126.994519,B1-B3,상행 8-1
4,충무로,37.561314,126.994519,B1-B3,하행 3-3
4,한성대입구,37.588168,127.006271,1F-B1,3번 출구
4,한성대입구,37.588458,127.006208,B1-B2,섬식(상)6-1
4,혜화,37.581308,127.002193,1F-B1,2번 출구
4,혜화,37.581284,127.001826,1F-B1,3번 출구
4,혜화,37.582339,127.001849,B1-B2,상행 7-4
4,혜화,37.582339,127.001849,B1-B2,하행 3-4
4,회현,37.557988,126.977391,1F-B2,5번 출구
4,회현,37.558526,126.978247,B1-B4,섬식(상)10-1
5,강동,37.536123,127.132232,1F-B3,1번 출구
5,강동,37.535806,127.132483,B3-B4,내부
5,개롱,37.497907,127.134816,1F-B1,3번 출구
5,개롱,37.498079,127.1348,B1-B2,내부
5,개화산,37.572027,126.806377,1F-B2,1번 출구
5,개화산,37.572404,126.806123,1F-B2,2번 출구
5,거여,37.493547,127.143624,1F-B1,1번 출구
5,거여,37.493205,127.143946,B1-B2,내부
5,고덕,37.555065,127.15365,1F-B1,2번 출구
5,고덕,37.555011,127.154264,B1-B2,내부
5,공덕,37.544344,126.951587,1F-B1,5번 출구
5,공덕,37.543873,126.950982,B1-B3,내부
5,광나루,37.545458,127.1036,1F-B2,1번 출구
5,광나루,37.545282,127.103475,B2-B3,내부
5,광화문,37.571956,126.974853,1F-B2,1번 출구
5,군자,37.557147,127.080072,1F-B1,4번 출구
5,군자,37.556761,127.079128,1F-B1,7번 출구
5,군자,37.557068,127.079662,B1-B3,내부
5,굽은다리,37.545485,127.142707,1F-B1,1번 출구
5,굽은다리,37.545428,127.142853,B1-B2,내부
5,길동,37.537877,127.139765,1F-B1,1번 출구
5,길동,37.538377,127.140213,B1-BM2,내부
5,길동,37.538377,127.140213,B2-B3,내부
5,김포공항,37.563203,126.802154,1F-B2,3번 출구
5,김포공항,37.562172,126.801264,B2-B3,내부
5,까치산,37.532073,126.846489,B1-B4,내부
5,답십리,37.567423,127.052242,1F-B2,2번 출구
5,답십리,37.566536,127.052714,1F-B2,6번 출구
5,답십리,37.566826,127.052652,B2-B3,내부
5,동대문역사문화공원,37.564671,127.005331,B1-B5,내부
5,둔촌동,37.52755,127.135902,1F-B1,3번 출구
5,둔촌동,37.52778,127.136227,B1-B2,내부
5,마곡,37.560155,126.825335,1F-B1,"1, 2번 출구 사이"
5,마곡,37.559972,126.825314,1F-B1,"6, 7번 출구 사이"
5,마곡,37.560098,126.825297,B1-B2,내부
5,마장,37.566072,127.042927,B2-B3,내부
5,마천,37.494983,127.152809,B2-B4,내부
5,마포,37.539765,126.945793,1F-B1,"1, 2번 출구 사이"
5,마포,37.539606,126.946006,B1-B5,내부
5,명일,37.551065,127.144149,1F-B1,4번 출구
5,명일,37.55133,127.144013,B1-B2,내부
5,목동,37.525843,126.864951,1F-B1,5번 출구
5,목동,37.526082,126.864825,B1-B2,내부
5,발산,37.558141,126.837901,1F-B1,7번 출구
5,발산,37.558635,126.837673,B1-B2,내부
5,방이,37.50846,127.125684,1F-B1,3번 출구
5,방이,37.508755,127.126099,B1-B2,내부
5,방화,37.577027,126.813041,1F-B1,1번 출구
5,방화,37.577466,126.812751,B1-B2,내부
5,서대문,37.565837,126.966086,1F-B1,2번 출구
5,서대문,37.565644,126.9665,B1-B4,내부
5,송정,37.561392,126.81165,1F-B2,2번 출구
5,송정,37.561204,126.811903,B2-B3,내부
5,신금호,37.554869,127.020107,1F-B2,2번 출구
5,신금호,37.55451,127.020384,B2-B8,내부
5,신길,37.517629,126.914913,B3-B4,내부
5,신정,37.525257,126.857569,1F-B2,2번 출구
5,신정,37.525004,126.85627,B2-B3,내부
5,아차산,37.551952,127.089045,1F-B1,4번 출구
5,아차산,37.552036,127.089601,B1-B3,내부
5,애오개,37.553368,126.956444,1F-B1,2번 출구
5,애오개,37.553474,126.956681,B1-B4,내부
5,양평,37.525317,126.886067,1F-B1,2번 출구
5,양평,37.525574,126.886193,B1-B5,내부
5,여의나루,37.52654,126.932835,1F-BM1,4번 출구
5,여의나루,37.527053,126.93284,B1-B5,내부
5,여의도,37.52201,126.923337,1F-B1,2번 출구
5,여의도,37.521688,126.924265,B1-B4,내부
